Pagu,LT,BT
3230,-6.85820560073873,111.802854312307
2420,-6.80635593358047,111.890102992595
1620,-6.87665191510946,111.782135270242
1750,-6.80132751419814,111.836287047132
730,-6.84676787753825,111.779340941756
1220,-6.80759158088131,111.82191044373
3840,-6.80955159876752,111.868602576907
1500,-6.80131793212401,111.861406140871
1160,-6.8196839913616,111.822782952245
2340,-6.80188142160591,111.844741385521
1990,-6.89778091066246,112.069795753766
1430,-6.90082731384511,112.055825945437
2060,-6.88754271287855,112.051931985563
1590,-6.90409703614827,112.064630004876
3010,-6.89934204241546,112.029943416532
1370,-6.88664555390249,112.052345163176
510,-6.89124655866972,112.064361373912
1790,-6.77432240009138,111.692357746137
1280,-6.88286965958607,112.023726677757
1750,-6.88244330486129,112.036472796174
1150,-6.89269776297954,112.052318057326
730,-6.89305177227264,112.067735778494
1830,-6.8923567418126,112.058926990761
1750,-6.89873336430687,112.050675773245
6340,-6.90005094367176,112.016315996277
2160,-6.89603402347573,112.075460636435
5090,-6.90064606321063,112.009405583193
520,-7.07623130620195,112.177273625459
1850,-7.08076681647029,112.158111785642
2270,-7.02716114030042,112.145380804119
1750,-7.06991881316103,112.204651571786
1730,-6.98771965419797,112.197537727885
3890,-6.98676710597445,112.124535025528
3220,-6.99117346156654,112.18290564458
2420,-7.01559246745521,112.156033787708
3320,-7.09273403717301,112.174505777878
2240,-7.09510268083121,112.164152289839
3710,-7.09945784398594,112.23256149578
3590,-7.04094202692919,112.213539398954
3330,-6.99476532973916,112.170962004327
2530,-7.06703078481338,112.216670914513
2440,-7.0777848503282,112.191843775127
4310,-7.08758088212494,112.172746078644
1310,-7.13607846113648,111.897400655147
1090,-7.14802340284939,111.901620077601
950,-7.16268539561655,111.868804070934
380,-7.15264708844119,111.892619360919
1950,-7.13503876308555,111.928997362322
900,-7.14589804534253,111.893150227239
340,-7.149813051126,111.87389458275
250,-7.15200108681672,111.880622657835
230,-7.15699619090182,111.874069793053
1420,-7.14129581813045,111.869059902784
870,-7.14600340510081,111.875398089282
440,-7.15791870366725,111.891679925001
1490,-7.17579812582965,111.947627706731
1980,-7.14940679284479,111.895299395193
1060,-7.17224266505404,111.871982117695
780,-7.15765132025899,111.927667886633
1350,-7.16911549897981,111.881121077953
340,-7.16095623724594,111.875636203637
4460,-7.24978903715675,111.846201392909
2120,-7.2558997023812,111.852797743455
3430,-7.24333221591266,111.873211561465
4820,-7.2362933843156,111.833498503248
4990,-7.25898042756351,111.879496393889
1730,-7.21695336906838,111.869034454548
3640,-7.15569210244525,111.849295458539
3260,-7.22577649466429,111.868509322903
2430,-7.16275234284894,111.85555202963
5540,-7.190913978713,111.86314190512
2550,-7.24364330916777,111.822594787896
4780,-7.22226616907253,111.845669237521
7190,-7.20662777509379,111.820867760653
4360,-7.25731628310609,111.873798901152
3410,-7.18323323624799,111.863321060779
2660,-7.20560844256809,111.854036647302
1890,-7.17282999745766,111.928237679651
2060,-7.19047195757404,111.873861842076
5080,-7.2196007163232,111.874291670031
1330,-7.16541178108187,111.933640294514
710,-7.17786404613941,111.896410187943
1260,-7.19573799268707,111.933159669111
2170,-7.19945854371439,111.926550230801
600,-7.1795317562244,111.918438209682
1250,-7.22635247914953,111.896564565825
1180,-7.1896758684435,111.920149536828
730,-7.16211421328759,111.903840954455
780,-7.20801632626584,111.884934833192
1770,-7.18855817162979,111.927450927511
1470,-7.15486296648105,111.910725974185
1210,-7.18695579800221,111.874235516473
2590,-7.18753803802792,111.935272995011
2140,-7.18498778069867,111.914331067392
4250,-7.1993179691263,111.88869627722
1320,-7.19795565854881,111.880456335565
600,-7.1722367883148,111.905619574544
4140,-7.1832152295684,111.894612814677
2590,-7.24231380611547,111.953018816815
1350,-7.25054031309362,111.950957156412
2950,-7.26984197256972,111.914927913786
2350,-7.25907893271642,111.928013511975
3670,-7.24796065473265,111.971029527579
5200,-7.26330144748455,111.97984957065
1220,-7.27724421347338,111.916937071959
1920,-7.24839237233003,111.939076641586
3990,-7.22293297137038,111.933045600931
880,-7.230611727024,111.914559900521
3920,-7.26720235013794,111.949994134749
2020,-7.26244609489045,111.922439765728
3250,-7.24040991612832,111.912850822878
1940,-7.25440737588397,111.95243230856
1130,-7.1012012368825,111.71437215055
2040,-7.16199479898915,111.661435548881
4030,-7.14585604809709,111.667694505446
1470,-7.10049611846466,111.713825471982
2620,-7.14339685455217,111.686530564774
2630,-7.10126221949697,111.717988679126
2180,-7.12447712011461,111.70429361798
910,-7.10868243797947,111.730561869391
2080,-7.12107008199244,111.709958326702
1910,-7.1104138977885,111.688092169012
1200,-7.10927141151308,111.726874693054
1090,-7.11055233137712,111.751048542714
2330,-7.11936569928636,111.722318151651
1590,-7.10148009169273,111.736231441448
2380,-7.09913343955984,111.704685041432
2210,-7.10420770855075,111.687450025533
1710,-7.10993207869575,111.760439074923
1680,-7.09867217803179,111.708306627655
1160,-7.10776547919022,111.743018538542
3480,-7.12642630862286,111.774198625883
3050,-7.1307216616619,111.880321988671
1470,-7.1321723141264,111.859636759399
4590,-7.12259564866357,111.812734506296
2950,-7.10918355150879,111.798430646869
2930,-7.13848424954426,111.851252352351
3580,-7.13665288454624,111.838205562202
2190,-7.11189104135802,111.827540056825
580,-7.13331688194997,111.873698706579
2830,-7.11440136159318,111.80937477452
1090,-7.12230248883767,111.851724628864
1680,-7.11789393718697,111.846973320134
1280,-7.16309750691279,111.860366585329
3410,-7.267471038228,111.616863925383
1900,-7.25106973528335,111.708212094014
1760,-7.24173176759277,111.59618407011
4550,-7.24720662636846,111.621309958726
5060,-7.27229489650358,111.584554647712
2210,-7.25298199943832,111.60495835569
1110,-7.27724087149068,111.722698140982
3450,-7.25426432808023,111.654796890526
6000,-7.28468515928672,111.658753325154
6030,-7.2809053731934,111.699519343045
10050,-7.29155933666059,111.596335302796
4610,-7.28199468543152,111.600235585565
1460,-7.22870085561704,111.591080147835
1260,-7.27230313832067,111.716363800968
4540,-7.25996402034055,111.59907625596
3560,-7.26934763310145,111.620079207906
1220,-7.2481651390976,111.60166404753
3250,-7.28942919754507,111.693389946224
3940,-7.22926001405907,111.578802338809
3320,-7.2540558300405,111.530362027776
6580,-7.25880700385082,111.540730141382
2970,-7.25144409752494,111.530223840018
2660,-7.22999971903255,111.5857961546
4130,-7.24864680892352,111.493869156547
4280,-7.23905274733315,111.515666523918
13950,-7.26100357600481,111.55674988556
1490,-7.2603766499136,111.52789089088
2620,-7.24005386117827,111.559984534348
3040,-7.21252888343907,111.564021078853
4250,-7.25852805214818,111.504117907053
3600,-7.260258936141,111.516679607768
2560,-7.21987732103762,111.544888221513
3770,-7.23509603567514,111.548462293625
2840,-7.2297612700384,111.532583871721
2690,-7.28477242163288,111.71425648995
2550,-7.30556739897995,111.738150937315
3850,-7.33325960821479,111.708411291179
3700,-7.2954860110411,111.711469535667
7290,-7.39586503668242,111.792338058747
10400,-7.38104109987071,111.678388762289
7020,-7.38726055640225,111.761485609748
8100,-7.444364342637,111.780302544096
6890,-7.40349660766308,111.738407479945
9170,-7.40741217307858,111.742613352797
4100,-7.27102795032313,111.52564991672
2810,-7.32577534066872,111.458383896709
9310,-7.35580832299194,111.501572771958
8970,-7.3310522622847,111.515973721949
